time,tier,map,ban,matchid
1/29/2020 6:16:06 AM,24,Ranked Bazaar,Zhin,931706247
1/29/2020 6:16:06 AM,24,Ranked Bazaar,Torvald,931706247
1/29/2020 6:16:06 AM,24,Ranked Bazaar,Khan,931706247
1/14/2020 9:41:31 AM,24,Ranked Jaguar Falls,Bomb King,925429008
1/14/2020 9:41:31 AM,24,Ranked Jaguar Falls,Willo,925429008
1/14/2020 9:41:31 AM,24,Ranked Jaguar Falls,Atlas,925429008
1/14/2020 9:41:31 AM,24,Ranked Jaguar Falls,Torvald,925429008
1/26/2020 8:38:06 AM,24,Ranked Timber Mill,Strix,930542417
1/26/2020 8:38:06 AM,24,Ranked Timber Mill,Atlas,930542417
1/26/2020 8:38:06 AM,24,Ranked Timber Mill,Koga,930542417
1/26/2020 8:38:06 AM,24,Ranked Timber Mill,Kinessa,930542417
2/7/2020 12:37:40 PM,24,Ranked Jaguar Falls,Bomb King,935237602
2/7/2020 12:37:40 PM,24,Ranked Jaguar Falls,Vivian,935237602
2/7/2020 12:37:40 PM,24,Ranked Jaguar Falls,Koga,935237602
2/7/2020 12:37:40 PM,24,Ranked Jaguar Falls,Torvald,935237602
1/26/2020 11:34:47 AM,24,Ranked Brightmarsh,Torvald,930590227
1/26/2020 11:34:47 AM,24,Ranked Brightmarsh,Zhin,930590227
1/26/2020 11:34:47 AM,24,Ranked Brightmarsh,Koga,930590227
1/26/2020 11:34:47 AM,24,Ranked Brightmarsh,Bomb King,930590227
2/4/2020 5:53:28 PM,24,Ranked Bazaar,Strix,934297430
2/4/2020 5:53:28 PM,24,Ranked Bazaar,Bomb King,934297430
2/4/2020 5:53:28 PM,24,Ranked Bazaar,Torvald,934297430
2/4/2020 5:53:28 PM,24,Ranked Bazaar,Zhin,934297430
1/25/2020 2:46:56 PM,24,Ranked Timber Mill,Strix,930142916
1/25/2020 2:46:56 PM,24,Ranked Timber Mill,Zhin,930142916
1/25/2020 2:46:56 PM,24,Ranked Timber Mill,Makoa,930142916
1/25/2020 2:46:56 PM,24,Ranked Timber Mill,Kinessa,930142916
1/31/2020 2:36:24 PM,24,Ranked Serpent Beach,Raum,932524219
1/31/2020 2:36:24 PM,24,Ranked Serpent Beach,Torvald,932524219
1/31/2020 2:36:24 PM,24,Ranked Serpent Beach,Zhin,932524219
1/31/2020 2:36:24 PM,24,Ranked Serpent Beach,Koga,932524219
1/9/2020 7:23:14 PM,24,Ranked Frog Isle,Makoa,923211150
1/9/2020 7:23:14 PM,24,Ranked Frog Isle,Atlas,923211150
1/9/2020 7:23:14 PM,24,Ranked Frog Isle,Strix,923211150
1/9/2020 7:23:14 PM,24,Ranked Frog Isle,Willo,923211150
1/12/2020 12:02:54 PM,24,Ranked Bazaar,Evie,924562833
1/12/2020 12:02:54 PM,24,Ranked Bazaar,Makoa,924562833
1/12/2020 12:02:54 PM,24,Ranked Bazaar,Willo,924562833
1/12/2020 12:02:54 PM,24,Ranked Bazaar,Torvald,924562833
2/11/2020 1:31:11 AM,24,Ranked Timber Mill,Strix,936778577
2/11/2020 1:31:11 AM,24,Ranked Timber Mill,Kinessa,936778577
2/11/2020 1:31:11 AM,24,Ranked Timber Mill,Lian,936778577
2/11/2020 1:31:11 AM,24,Ranked Timber Mill,Torvald,936778577
2/7/2020 12:56:43 AM,24,Ranked Frog Isle,Torvald,935113847
2/7/2020 12:56:43 AM,24,Ranked Frog Isle,Strix,935113847
2/7/2020 12:56:43 AM,24,Ranked Frog Isle,Koga,935113847
2/7/2020 12:56:43 AM,24,Ranked Frog Isle,Zhin,935113847
1/19/2020 9:08:24 AM,24,Ranked Timber Mill,Zhin,927572451
1/19/2020 9:08:24 AM,24,Ranked Timber Mill,Strix,927572451
1/19/2020 9:08:24 AM,24,Ranked Timber Mill,Maeve,927572451
1/19/2020 9:08:24 AM,24,Ranked Timber Mill,Kinessa,927572451
1/9/2020 7:36:30 PM,24,Ranked Jaguar Falls,Willo,923216912
1/9/2020 7:36:30 PM,24,Ranked Jaguar Falls,Jenos,923216912
1/9/2020 7:36:30 PM,24,Ranked Jaguar Falls,Raum,923216912
1/9/2020 7:36:30 PM,24,Ranked Jaguar Falls,Makoa,923216912
1/22/2020 2:11:45 PM,24,Ranked Ice Mines,Jenos,928896158
1/22/2020 2:11:45 PM,24,Ranked Ice Mines,Torvald,928896158
1/22/2020 2:11:45 PM,24,Ranked Ice Mines,Drogoz,928896158
1/22/2020 2:11:45 PM,24,Ranked Ice Mines,Lian,928896158
1/24/2020 2:27:42 AM,24,Ranked Ice Mines,Torvald,929510203
1/24/2020 2:27:42 AM,24,Ranked Ice Mines,Koga,929510203
1/24/2020 2:27:42 AM,24,Ranked Ice Mines,Furia,929510203
1/24/2020 2:27:42 AM,24,Ranked Ice Mines,Dredge,929510203
1/18/2020 8:10:15 PM,24,Ranked Ice Mines,Koga,927318095
1/18/2020 8:10:15 PM,24,Ranked Ice Mines,Zhin,927318095
1/18/2020 8:10:15 PM,24,Ranked Ice Mines,Torvald,927318095
1/18/2020 8:10:15 PM,24,Ranked Ice Mines,Jenos,927318095
2/13/2020 12:59:35 PM,24,Ranked Ice Mines,Jenos,937547014
2/13/2020 12:59:35 PM,24,Ranked Ice Mines,Bomb King,937547014
2/13/2020 12:59:35 PM,24,Ranked Ice Mines,Terminus,937547014
2/13/2020 12:59:35 PM,24,Ranked Ice Mines,Torvald,937547014
2/6/2020 5:34:44 PM,24,Ranked Jaguar Falls,Torvald,934975603
2/6/2020 5:34:44 PM,24,Ranked Jaguar Falls,Zhin,934975603
2/6/2020 5:34:44 PM,24,Ranked Jaguar Falls,Drogoz,934975603
2/6/2020 5:34:44 PM,24,Ranked Jaguar Falls,Bomb King,934975603
1/25/2020 9:06:26 PM,24,Ranked Ascension Peak,Torvald,930325340
1/25/2020 9:06:26 PM,24,Ranked Ascension Peak,Zhin,930325340
1/25/2020 9:06:26 PM,24,Ranked Ascension Peak,Terminus,930325340
1/25/2020 9:06:26 PM,24,Ranked Ascension Peak,Strix,930325340
1/29/2020 6:55:32 AM,24,Ranked Ice Mines,Zhin,931711609
1/29/2020 6:55:32 AM,24,Ranked Ice Mines,Torvald,931711609
1/29/2020 6:55:32 AM,24,Ranked Ice Mines,Khan,931711609
1/29/2020 6:55:32 AM,24,Ranked Ice Mines,Jenos,931711609
1/26/2020 6:16:51 PM,24,Ranked Frog Isle,Koga,930755913
1/26/2020 6:16:51 PM,24,Ranked Frog Isle,Zhin,930755913
1/26/2020 6:16:51 PM,24,Ranked Frog Isle,Torvald,930755913
1/26/2020 6:16:51 PM,24,Ranked Frog Isle,Jenos,930755913
2/1/2020 3:12:33 AM,24,Ranked Ice Mines,Torvald,932808049
2/1/2020 3:12:33 AM,24,Ranked Ice Mines,Dredge,932808049
2/1/2020 3:12:33 AM,24,Ranked Ice Mines,Zhin,932808049
2/1/2020 3:12:33 AM,24,Ranked Ice Mines,Koga,932808049
1/25/2020 10:04:18 PM,24,Ranked Bazaar,Strix,930351810
1/25/2020 10:04:18 PM,24,Ranked Bazaar,Torvald,930351810
1/25/2020 10:04:18 PM,24,Ranked Bazaar,Koga,930351810
1/25/2020 10:04:18 PM,24,Ranked Bazaar,Zhin,930351810
2/1/2020 11:26:40 PM,24,Ranked Serpent Beach,Zhin,933242242
